TYPE;CONF_PATH;VERSION
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_People/home/serv_people/service/node_modules/moment/package.json;2.10.6
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_People/home/serv_people/service/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_People/home/serv_people/service/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_People/home/serv_people/service/node_modules/underscore.string/package.json;3.0.3
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Picture/home/serv_picture/service/node_modules/express/package.json;4.12.4
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Picture/home/serv_picture/service/node_modules/formidable/package.json;1.0.17
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Picture/home/serv_picture/service/node_modules/fs/package.json;0.0.2
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Picture/home/serv_picture/service/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Picture/home/serv_picture/service/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Provider/home/serv_provider/service/node_modules/moment/package.json;2.10.6
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Provider/home/serv_provider/service/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Integration/packages/Services/Service_Provider/home/serv_provider/service/node_modules/underscore/package.json;1.8.3
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/angular-animate/bower.json;1.5.11
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/angular-aria/bower.json;1.5.11
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/angular/bower.json;1.3.20
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/angular-checklist-model/bower.json;0.2.4
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/angular-cookies/bower.json;1.4.14
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/angular-elastic/bower.json;2.5.1
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/angular-loading-bar/bower.json;0.7.1
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/angular-material/bower.json;0.9.8
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/angular-messages/bower.json;1.4.14
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/angular-mocks/bower.json;1.3.20
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/angular-sanitize/bower.json;1.4.14
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/angular-ui-router/bower.json;0.2.18
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/angular-ui-utils/bower.json;0.2.3
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/console-polyfill/bower.json;0.1.2
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/jquery/bower.json;2.1.4
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/material-date-picker/bower.json;1.1.7
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/ng-img-crop/bower.json;0.3.2
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/ngstorage/bower.json;0.3.11
BOWER;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/bower_components/ui-router-extras/bower.json;0.0.14
